Home Furnishings-Wall and Window Covering,98
Home Furnishings-Ornaments,62
Home Furnishings-Appliances,163
Home Furnishings-Linen,1511
Home Furnishings-Floor Covering,43
Home Furnishings-All Other Furnishings,652
Home Furnishings-Dishware,767
Sports Equipment-Bats,15
Sports Equipment-Scooter,97
Sports Equipment-Golf Club,6
Sports Equipment-Ball,316
Sports Equipment-Skateboard,79
Sports Equipment-Binocular,26
Sports Equipment-Electric Motor Scooter,2
Sports Equipment-Protective Gear,486
Sports Equipment-Hockey Stick,10
Sports Equipment-Sports Racket,148
Sports Equipment-Bicycle,229
Sports Equipment-Skis,3
Sports Equipment-All Other sports equipment,596
Medical Equipment & Medication-Insulin Pump,91
Medical Equipment & Medication-Medication,6129
Medical Equipment & Medication-X  Rays,102
Medical Equipment & Medication-Other,524
Medical Equipment & Medication-Walker,15
Medical Equipment & Medication-Wheel Chair,19
Medical Equipment & Medication-Blood Pressure Meter,65
Medical Equipment & Medication-All Other Medical Equipment / Supplies,946
Medical Equipment & Medication-Electric wheelchair/scooter,3
Medical Equipment & Medication-Cane,668
Medical Equipment & Medication-Diabetic Testing Equipment,140
Medical Equipment & Medication-Glucose Meter,334
Tools-Tools,1407
Tools-Tool Box,82
Tools-Tool Belt,29
Keys-Car,2524
Keys-House,13296
Keys-Electronic key card,653
Keys-All Other keys,3824
Tickets-Transit Check,195
Tickets-All Other Tickets,604
Tickets-NJ Transit,462
Tickets-Metro North Tickets,256
Tickets-Lottery Tickets,791
Tickets-Entertainment Tickets,142
Tickets-MTA Metrocard,55151
Tickets-LIRR Tickets,413
Tickets-Airline,123
Book-Photo album,46
Book-Paperback,7035
Book-Address book,854
Book-Soft cover,3925
Book-Other,954
Book-Diary,687
Book-Hard Cover,3792
NYCT Equipment-Vest,19
NYCT Equipment-Badge,63
NYCT Equipment-Radio,8
NYCT Equipment-Pass or Badge holder,17
NYCT Equipment-All other NYCT Equiment,64
NYCT Equipment-Epic pass,426
Currency-Gift Card ,3658
Currency-Payroll check,1177
Currency-Money Order,229
Currency-Personal Check,1707
Currency-Travelers Checks ,21
Currency-Other Currency,207
Currency-Cash,44772
Currency-Foreign Currency,2805
Musical Instrument-Flute,111
Musical Instrument-Musical instrument accessories,84
Musical Instrument-Clarinet,98
Musical Instrument-All Other Instruments,142
Musical Instrument-Guitar,60
Musical Instrument-Violin,114
Musical Instrument-Harmonica,9
Musical Instrument-Saxophone,41
Musical Instrument-Trumpet,96
Jewelry-Fashion (Costume),3687
Jewelry-Cuff Links,10
Jewelry-Necklace,525
Jewelry-Watch,1941
Jewelry-Ring,1306
Jewelry-Bracelet,834
Jewelry-Earrings,453
Jewelry-All other Jewelry,185
Jewelry-Tie Clips,2
Electronics-Digital Camera,978
Electronics-USB Drive,698
Electronics-Portable radio,343
Electronics-Computer ,1275
Electronics-GPS Navigation System,48
Electronics-CD Player,158
Electronics-Electronic accessories,997
Electronics-All other Electronics,2342
Electronics-Digital media/MP3/4 Player,2255
Electronics-Record Player,34
Electronics-Photo/Video Equipment,344
Electronics-Television set,10
Electronics-Body Activity Tracker,96
Electronics-Earphones Speakers,1058
Electronics-Computer External Hard Drive,49
Electronics-Camera Accessories,362
Electronics-Clock,20
Electronics-Walkman,86
Electronics-DVD Player,146
Electronics-Camera,308
Electronics-Calculator,583
Electronics-Air conditioner,2
Electronics-Translator,32
Electronics-Computer Accessories,453
Electronics-PDA,18
Electronics-Electronic Tablet,1341
Electronics-Electronic Reading Device,838
Carry Bag / Luggage-Suitcase,619
Carry Bag / Luggage-Handbag,4369
Carry Bag / Luggage-Shoulder bag,4333
Carry Bag / Luggage-Briefcase,746
Carry Bag / Luggage-Shopping bag,19290
Carry Bag / Luggage-Tote bag,8006
Carry Bag / Luggage-Garment/suit bag,186
Carry Bag / Luggage-Duffle bag,1583
Carry Bag / Luggage-Backpack,17018
Carry Bag / Luggage-All other baggage,7126
Carry Bag / Luggage-Messenger bag,278
Eye Wear-Eyeglass case without glasses,540
Eye Wear-Eye glasses,9784
Eye Wear-Other,338
Eye Wear-Sunglasses,3600
Wallet/Purse-Pouch,3940
Wallet/Purse-Wristlet,2357
Wallet/Purse-Purse,11978
Wallet/Purse-ID Holder,9732
Wallet/Purse-Business Card holder,587
Wallet/Purse-Billfold,251
Wallet/Purse-Handbag,675
Wallet/Purse-Lanyard,60
Wallet/Purse-All Other Wallet / Purse,1449
Wallet/Purse-Fanny pack,244
Wallet/Purse-Wallet,49498
Accessories-Scarf,2596
Accessories-All Other Accessories,1441
Accessories-Hat,5078
Accessories-Gloves,4303
Accessories-Makeup,2326
Accessories-Ties,370
Accessories-Belt,402
Accessories-Umbrella,3717
Clothing -Jacket,4143
Clothing -Coat ,695
Clothing -Nightwear,204
Clothing -Skirt,592
Clothing -Blouse,1029
Clothing -Sweater,3311
Clothing -Pants/trousers/shorts,7584
Clothing -Suit,104
Clothing -Shirt,5008
Clothing -Under garment,3296
Clothing -All Other Clothing,4774
Clothing -Tshirt,4203
Clothing -Dress,847
Clothing -Leather Jacket,89
Miscellaneous-Lunch box,1677
Miscellaneous-Blue print,30
Miscellaneous-Photo/Pictures,1206
Miscellaneous-Baby stroller/Carrier,166
Miscellaneous-Portfolio,838
Miscellaneous-All Other Misc Items ,33471
Miscellaneous-Art and Crafts,706
Miscellaneous-Mail,3037
Miscellaneous-Checkbook,1019
Miscellaneous-Tefillin/Phylacteries (Jewish),21
Miscellaneous-Folder,5709
Miscellaneous-Envelope,3426
Miscellaneous-Stationary Supplies,4812
Cell Phone/Telephone/Communication Device-Walkie Talkie,168
Cell Phone/Telephone/Communication Device-Answering Machine,9
Cell Phone/Telephone/Communication Device-Other,76
Cell Phone/Telephone/Communication Device-Cell phone ,50891
Cell Phone/Telephone/Communication Device-Pager,83
Cell Phone/Telephone/Communication Device-Telephone Accessories,5390
Toys-Baby Toys,186
Toys-All Other Toys,815
Toys-Board Game,105
Toys-Doll,236
Toys-Cars/Trucks,251
Toys-Stuffed Animals,360
Identification-Debit Card,46299
Identification-Badge,242
Identification-Passport,3432
Identification-Social Security Card,8253
Identification-Birth Certificate,1358
Identification-School ID,19347
Identification-Credit Card,25014
Identification-AAA Card,796
Identification-Resident Card,1210
Identification-Employment ID,9139
Identification-Identification Card,18069
Identification-Library card,7086
Identification-All Other Personal Identification,11766
Identification-Membership card,11964
Identification-Military ID,303
Identification-Drivers License,21561
Identification-Registration Card,440
Identification-Benefit Card,13782
Identification-Insurance Card,19030
Identification-Death Certificate,27
Entertainment (Music/Movies/Games)-Video Games System,488
Entertainment (Music/Movies/Games)-All Other Entertainment,334
Entertainment (Music/Movies/Games)-VHS Tape,119
Entertainment (Music/Movies/Games)-DVD,1198
Entertainment (Music/Movies/Games)-BluRay,7
Entertainment (Music/Movies/Games)-Computer Games ,388
Entertainment (Music/Movies/Games)-Compact Disc,985
Footwear-Shoes,2819
Footwear-Boots,986
Footwear-Slippers,723
Footwear-Sandals,577
Footwear-Galoshes,37
Footwear-All Other Footwear,181
Footwear-Sneakers,2940
